battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_kills,self_healing,sentry_kills,shield_generators_destroyed,solo_kills,tank_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,83127,41696,1,0.01,30,55,0,81,0,42,3,4,0,1,0,39758,13,6,4,3,1,0,52,789,0,0,24,5005,52,0,3,5,0,2580,398,10,0.19,0.36
Kailord#1286,1054,1646,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0.23,0
Jeremos#2358,3516,28527,0,1,0.07,126,20,0,52,0,30,1,2,0,1,0,0,6,2,3,1,0,0,16,66,0,0,12,3149,32,0,12,8,0,1500,239,4,0.36,0.53
EFFECT#31318,1958,452,15,0,0.12,3,1,0,1,0,1,0,0,0,0,0,437,0,0,0,0,0,0,1,0,0,0,0,433,1,0,0,0,0,60,0,0,0.15,0
Trigga#11180,3522,36723,16562,2,0.0,10,6,0,54,0,32,0,1,0,0,0,20019,3,1,1,1,0,0,29,270,0,0,9,1476,39,0,3,6,0,780,255,0,0.19,0.52
Lexilicious#1875,1550,1083,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1083,0,0,0,0,0,0,0,0,0,0,0,47,2,0,0,0,0,60,0,0,0.2,0
Oppenheimer#11894,3069,22619,13046,1,0.02,11,9,0,29,0,17,0,1,0,0,0,9387,2,0,2,0,0,0,18,192,0,0,11,1480,9,0,0,9,0,660,271,0,0.17,0.66
storm#14477,2704,36232,20489,0,0.0,6,18,0,42,0,27,1,1,0,0,0,15296,5,2,1,2,0,0,14,82,0,0,13,3154,23,0,3,6,0,1200,188,0,0.19,0.31
QuietJosh#11373,3980,6863,4418,0,0.01,3,2,0,4,0,3,0,0,0,0,0,2445,1,1,0,0,0,0,2,23,0,0,2,290,2,0,0,0,0,120,0,0,0.2,1.0
JoseM0#1230,2763,11541,2159,0,0.0,5,11,0,21,0,16,1,1,0,0,0,9152,3,1,1,2,0,0,8,150,0,0,1,818,14,0,0,6,0,420,185,0,0.19,0
Nostrenos#1737,2220,17329,8647,1,0.0,3,14,0,23,0,15,1,1,0,0,0,8621,2,0,1,0,0,0,22,172,0,0,2,961,19,0,1,2,0,600,322,0,0.18,0.15
Narehop#2417,2059,520,0,0,0,0,1,0,0,0,0,0,0,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,32,0,0,0.15,1.0
Lucario#21542,2887,55414,17571,1,0.0,14,27,0,91,0,50,2,3,0,1,0,37498,9,4,2,3,0,0,45,328,0,0,19,6237,57,0,7,15,0,2040,276,0,0.22,0.39
beepybeetle#1327,2043,7064,2593,0,0.01,4,6,0,9,0,5,1,1,0,0,0,4469,1,0,0,1,0,0,2,63,0,0,2,1081,4,0,0,3,0,300,0,0,0.21,0
Cybernator#11620,2661,3777,1388,0,0.02,4,8,0,5,0,3,0,1,0,1,0,2387,2,1,1,0,0,0,0,0,0,0,3,1336,1,0,2,1,0,420,0,0,0.16,0.71
Thermite#11202,2304,7404,3416,0,0,0,7,0,9,0,4,0,0,0,0,0,3988,2,0,0,1,0,0,3,5,0,0,2,551,7,0,1,0,0,360,0,0,0.17,0
Jackey#11578,2445,2133,1153,0,0,0,1,0,1,0,1,0,0,0,0,0,980,0,0,0,0,0,0,0,0,0,0,0,194,1,0,0,0,0,41,0,0,0.57,0
BrokenSpecs#1812,1962,760,450,0,0,0,1,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,40,0,0,0.14,1.0
Cinnabuns#11729,3369,9553,4974,0,0.0,2,3,0,9,0,4,0,0,0,0,0,4364,1,0,1,0,0,0,8,150,0,0,1,297,6,0,0,2,0,240,0,0,0.19,1.0
