battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,enemies_emp'd,enemies_hacked,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,1842,176,0,0,0,3,0,13,0,1,0,7,0,0,0,0,0,1666,0,0,0,0,0,1,10,48,0,1,0,0,0,120,51,0,0.25,0.46
PapaGlitchy#2651,2409,286,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,286,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0.2,0
Lexilicious#1875,1550,1166,244,0,0,0,4,0,3,2,7,0,1,0,0,0,0,0,922,1,1,0,0,0,0,2,13,2,0,0,0,0,180,0,0,0.23,1.0
LeFlamel#1736,2570,56163,8644,1,0,0,68,0,151,111,191,0,52,6,8,0,2,0,34745,14,9,2,3,0,0,69,620,68,1,0,8,0,3600,173,1,0.25,0.2
Lucario#21542,2887,6700,1786,0,0,0,10,0,20,8,11,0,8,0,1,0,0,0,4910,2,1,1,0,3,1,13,91,8,1,0,0,0,540,107,1,0.32,0.4
Kephrii#11655,2797,444,240,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,204,1,0,0,0,0,0,0,1,0,0,0,0,0,120,0,0,0.5,0.41
Cybernator#11620,2661,1744,110,0,0,0,9,0,7,2,3,0,2,1,1,0,0,0,1629,3,1,1,1,0,0,3,65,1,0,0,1,0,420,0,0,0.3,0
SCOPE#11903,3580,413,61,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0.33,1.0
Jackey#11578,2445,4315,1535,0,0,0,6,0,10,7,11,0,5,0,2,0,1,0,2754,3,1,1,1,0,0,7,17,3,0,0,1,0,540,0,3,0.31,0.8
Mariposa#31240,3446,2624,400,0,0,0,3,0,8,7,12,0,1,0,0,0,0,0,2224,0,0,0,0,1,0,1,8,4,0,0,0,0,300,0,0,0.25,0
dunk#11522,2877,3607,0,0,0,0,6,0,8,11,22,0,4,0,1,0,0,0,0,2,0,0,1,0,0,4,50,3,0,0,0,0,480,0,0,0.34,0
BeSmart#2935,2416,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0.11,0
youngfoon#1565,1930,1071,115,0,0,0,3,0,5,0,1,0,3,0,0,0,0,0,955,2,1,1,0,0,0,0,17,0,0,0,1,0,180,0,0,0.29,0.53
neonnami#2407,2287,1752,0,0,0,0,4,0,2,0,2,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,90,0,0,0,1,0,240,0,0,0.37,0
OVER#31636,2438,485,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,485,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0.31,0
sora#2593,1881,158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,2,0,0,0,0,0,27,0,0,0.28,0
Drgalaxy#21722,2817,191686,15537,13,0,0,210,0,433,435,657,0,188,11,20,1,8,0,129842,49,34,5,10,10,3,159,1594,240,0,0,42,1,14400,2154,10,0.4,0.43
Mexi#11525,3358,1656,492,0,0,0,2,0,5,1,3,0,1,0,0,0,0,0,1164,0,0,0,0,0,0,3,19,2,0,0,1,0,120,0,0,0.37,0
Lorenzo#11759,2514,736,200,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,536,0,0,0,0,0,0,4,17,1,1,0,0,0,26,0,0,0.48,1.0
Kriohn#1188,2433,2766,362,0,0,0,5,0,7,4,8,0,3,0,0,0,0,0,1953,2,1,0,0,2,0,5,23,2,1,0,0,1,300,0,1,0.24,0.71
PsychoD#2644,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pistola#11768,3000,1585,881,0,0,0,2,0,1,4,4,0,1,0,0,0,0,0,704,0,0,0,0,0,0,0,9,0,0,0,0,0,60,0,0,0.24,1.0
Diggums#11308,3196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Skypo#2201,2933,205,205,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,41,0,0,0,0
Cherrem#1305,2666,2438,0,0,0,0,1,0,11,2,6,0,6,0,1,1,0,0,2412,1,0,0,1,1,0,5,6,3,1,0,3,0,240,8,0,0.23,0
joebloggie#2551,3204,7696,603,0,0,0,5,0,38,22,39,0,15,0,1,0,1,0,6792,4,2,1,1,0,0,19,67,21,0,0,1,0,720,362,0,0.28,1.0
