battletag,SR,all_damage_done,armor_packs_created,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,molten_core_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,torbjorn_kills,turret_kills,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,3793,8,970,0,0,0,2,0,6,0,3,0,0,0,0,0,2823,1,0,1,0,0,1,0,1,3,0,0,0,1,0,180,0,4,3,0,0.44,0.48
PapaGlitchy#2651,2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
Kailord#1286,1054,2995,6,182,0,0,0,6,0,2,0,1,0,0,0,0,0,2813,0,0,0,0,0,0,0,0,1,0,0,0,0,0,240,0,1,2,0,0.16,0
Jeremos#2358,3516,15770,11,0,0,0.03,12,14,0,25,0,10,1,1,0,0,0,0,4,1,1,1,0,5,1,8,16,0,0,0,5,0,960,0,20,10,0,0.42,0
EFFECT#31318,1958,6985,6,177,0,0.06,3,4,0,8,0,3,0,1,0,0,0,6428,1,0,0,1,0,1,1,3,7,0,1,0,0,0,360,0,2,7,0,0.24,0.35
dragon#18985,2215,18317,59,5065,0,0.08,24,9,0,39,0,12,0,2,0,2,0,13154,3,1,0,1,0,4,1,14,54,0,0,0,5,0,1020,231,20,29,0,0.18,0.76
xFunStyle#2648,2450,4516,2,1485,0,0.05,3,2,0,0,0,0,0,0,0,0,0,3032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0.37,0
Nostrenos#1737,2220,1573,3,1298,0,0.14,1,1,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,2,0,0,0,0,0,60,0,0,0,0,0.21,0
Narehop#2417,2059,6656,16,1937,1,0.04,6,3,0,21,0,7,0,1,0,0,0,4719,2,0,1,1,0,2,0,12,13,0,0,0,0,0,300,87,10,18,0,0.24,0
Lucario#21542,2887,53159,84,13132,1,0.06,71,32,0,87,0,45,2,4,0,2,0,39308,12,3,5,3,1,20,1,36,84,0,0,0,8,0,2520,252,55,55,1,0.3,0.53
Kephrii#11655,2797,1039,1,179,0,0,0,2,0,2,0,0,0,0,0,0,0,860,0,0,0,0,0,0,0,1,5,0,0,0,0,0,60,0,2,0,0,0.52,1.0
Cybernator#11620,2661,3310,3,1125,0,0.1,7,4,0,2,0,1,0,0,0,0,0,2185,0,0,0,0,0,0,0,1,8,0,0,0,0,0,120,0,1,1,0,0.36,0
Jackey#11578,2445,19196,43,7139,0,0.08,12,10,0,30,0,11,0,1,0,1,0,12025,5,1,1,3,0,2,0,12,19,0,0,0,5,0,1020,4,15,20,0,0.26,0.67
Mom#12879,2936,9783,37,3228,0,0.04,6,12,0,21,0,6,0,1,0,0,0,6555,2,0,0,1,0,6,1,14,38,0,0,0,1,0,660,0,11,13,0,0.19,0.65
Mariposa#31240,3446,18207,43,6038,0,0.09,28,6,0,35,0,11,1,1,0,0,0,11533,3,1,1,1,1,2,1,15,104,0,0,0,2,0,660,209,18,28,0,0.23,0
Limousine#11710,2603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
dunk#11522,2877,9744,19,0,1,0.0,1,4,0,14,0,6,0,0,0,0,0,0,2,0,0,1,0,5,1,14,20,0,0,0,0,0,360,113,7,11,0,0.37,0
Casual#11993,2599,5651,13,774,0,0.13,12,2,0,13,0,3,0,0,0,0,0,4877,1,0,1,0,0,2,0,3,10,0,0,0,1,0,240,23,5,10,0,0.28,0
youngfoon#1565,1930,4169,8,1613,0,0.03,1,2,0,3,0,1,0,0,0,0,0,2556,1,1,0,0,0,0,0,2,4,0,0,0,0,0,120,0,1,2,0,0.22,0
neonnami#2407,2287,7139,18,0,0,0.05,9,6,0,6,0,4,1,1,0,0,0,0,2,0,1,1,0,4,1,4,28,0,0,0,0,0,420,0,3,3,0,0.31,0
ZeroSumm#1771,2185,21491,63,4095,0,0.06,27,11,0,50,0,22,0,1,0,1,0,17085,4,2,2,0,0,7,0,22,37,0,1,0,5,0,1200,61,19,41,0,0.28,0.85
OVER#31636,2438,446,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
sora#2593,1881,35414,73,14991,1,0.02,24,19,0,52,0,25,1,3,0,2,0,20133,7,2,3,2,1,10,1,20,96,0,0,0,4,0,1620,44,32,35,0,0.41,0.53
Codeg#21210,2081,2082,2,683,0,0.02,1,1,0,2,0,1,0,0,0,0,0,1399,0,0,0,0,0,0,0,0,2,0,0,0,1,0,120,0,2,2,0,0.19,0
Vodkajin#1911,1662,2371,3,560,0,0.05,1,1,0,2,0,2,0,0,0,0,0,1811,1,0,1,0,0,0,0,2,7,0,0,0,0,0,60,0,1,1,0,0.34,0
Drgalaxy#21722,2817,108537,264,24744,1,0.07,127,67,0,199,0,88,5,7,0,3,0,82540,18,6,8,4,1,46,4,90,461,0,0,0,18,0,3600,921,110,153,3,0.28,0.36
PatateDouce#21802,2218,2376,7,846,0,0.12,1,2,0,8,0,3,0,0,0,0,0,1530,0,0,0,0,0,0,0,3,0,0,0,0,1,0,180,0,4,5,0,0.08,1.0
jeremychang#3761,3193,1175,2,196,0,0,0,1,0,0,0,0,0,0,0,0,0,969,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,0,0,0,0,0.04,0
Aishan#2839,2314,2698,3,1990,0,0.33,1,1,0,0,0,0,0,0,0,0,0,708,0,0,0,0,0,0,0,0,3,0,0,0,0,0,60,0,0,0,0,0.06,1.0
Mexi#11525,3358,778,1,175,0,0.02,1,1,0,2,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,2,0,0,0,0,0,0,30,0,2,1,0,0.43,0
Kriohn#1188,2433,4668,11,1303,0,0.05,4,4,0,3,0,1,0,0,0,0,0,3323,1,1,0,0,0,1,0,1,31,0,1,0,0,0,180,0,3,3,0,0.11,0.12
Young#1382,2968,6209,10,0,0,0.05,5,4,0,14,0,5,0,1,0,1,0,0,1,1,1,0,0,5,0,10,5,0,0,0,3,0,360,42,4,13,0,0.23,1.0
PsychoD#2644,3000,1676,2,546,0,0,0,1,0,1,0,0,0,0,0,0,0,1130,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,0,0,1,0,0.18,1.0
ogba#1552,1805,9240,22,2475,0,0.06,2,8,0,15,0,4,0,1,0,1,0,6762,2,0,1,1,0,3,0,8,16,0,0,0,0,0,480,58,4,12,0,0.19,0.83
Rimmon#2304,2176,12489,31,3906,0,0.05,22,10,0,16,0,4,1,1,0,0,0,8463,2,1,1,1,0,6,0,7,18,0,1,0,1,0,540,0,12,10,0,0.39,0.33
Alerion#21958,4007,4627,17,1577,0,0.05,2,10,0,6,0,2,1,1,0,0,0,2985,2,1,0,1,0,1,0,0,7,0,0,0,0,0,540,0,5,1,0,0.18,0.0
JOHNSON#12613,1539,2205,5,706,0,0,0,3,0,1,0,0,0,0,0,0,0,1499,1,0,0,0,0,0,0,0,4,0,0,0,0,0,120,0,0,1,0,0.3,0
burritoh#1532,1772,9786,15,0,1,0.02,3,2,0,19,0,10,0,1,0,1,0,0,4,2,1,1,0,2,0,2,5,0,0,0,1,0,420,0,5,15,0,0.39,1.0
Atlas#11100,2560,1070,2,14,0,0,0,1,0,1,0,0,0,0,0,0,0,1031,1,0,1,0,0,0,0,1,0,0,0,0,0,0,58,0,0,1,0,0.19,0
Looty27#2606,2663,6360,20,2202,0,0.04,3,2,0,17,0,6,1,1,0,0,0,4158,2,1,1,1,0,0,0,4,1,0,0,0,0,0,300,94,4,15,0,0.28,0
joebloggie#2551,3204,3860,11,1333,0,0.04,4,4,0,4,0,2,0,0,0,0,0,2042,1,0,0,0,0,0,0,1,3,0,0,0,0,0,240,0,3,2,2,0.43,0
sumikfx#2269,2327,6102,2,1376,0,0.07,6,3,0,3,0,1,0,0,0,0,0,4553,2,0,1,1,0,0,0,0,10,0,0,0,1,0,180,0,2,2,0,0.27,0
Nypro#1996,4063,2549,3,0,0,0.03,3,1,0,3,0,1,0,0,0,0,0,2549,0,0,0,0,0,1,0,2,0,0,0,0,0,0,60,0,1,3,0,0.46,0
texnoz#2587,3754,8906,21,3522,0,0.04,7,4,0,17,0,5,0,1,0,1,0,5355,3,1,0,1,0,5,1,7,43,0,0,0,1,0,480,0,11,8,0,0.38,0.93
Phantoms#11321,2253,10262,12,3391,0,0.09,13,3,0,14,0,5,1,1,0,0,0,6792,2,1,1,0,0,1,0,6,32,0,0,0,0,0,360,0,8,9,0,0.27,0
FlayvorTown#1838,2074,2834,3,1182,0,0,0,1,0,1,0,0,0,0,0,0,0,1552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,1,0,0.17,0
bluefiftytwo#2230,2563,23549,51,6873,1,0.05,48,17,0,38,0,16,1,2,0,1,0,16674,5,1,3,2,0,6,0,19,71,0,0,0,1,0,1080,204,21,24,0,0.45,0.64
Tatarus#2790,2742,3707,4,1805,0,0.05,1,2,0,4,0,2,0,0,0,0,0,1902,0,0,0,0,0,1,0,1,6,0,0,0,1,0,60,0,1,4,0,0.1,0
