battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scoped_accuracy,scoped_critical_hits,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,venom_mine_kills,weapon_accuracy,win_percentage
Fergalicious#21844,4037,29217,3838,0,0.22,79,44,0,77,0,54,2,4,0,2,0,25134,9,3,4,3,3,0,17,74,0,0,17,0.45,56,0,26,0,2220,286,1,2,0.35,0.56
PapaGlitchy#2651,2409,6292,1003,0,0.22,12,11,0,8,0,6,1,1,0,0,0,5288,1,1,0,0,0,0,0,7,0,0,4,0.51,11,0,2,0,480,0,0,1,0.29,0.04
Jeremos#2358,3516,34208,0,0,0.1,36,32,0,96,0,59,1,4,0,2,0,0,11,4,3,4,0,0,20,18,0,0,0,0.48,35,0,18,0,3060,162,1,7,0.38,0.6
EFFECT#31318,1958,5760,1167,0,0.12,8,4,0,8,0,7,0,1,0,0,0,4589,2,1,0,1,1,0,2,0,0,1,1,0.61,7,0,2,0,360,0,0,1,0.41,0.44
Trigga#11180,3522,4594,726,0,0.07,4,3,0,13,0,8,0,0,0,0,0,3867,1,0,0,0,0,0,1,0,0,0,3,0.61,4,0,2,0,300,48,0,0,0.57,0.26
dragon#18985,2215,11313,1989,0,0.09,13,13,0,15,0,6,0,1,0,1,0,9324,3,1,0,1,0,0,4,25,0,0,6,0.56,7,0,2,0,780,0,0,1,0.36,0.84
xFunStyle#2648,2450,41285,6016,2,0.17,108,37,0,74,0,53,1,4,0,3,0,34895,7,1,3,3,1,0,17,132,0,0,35,0.52,55,0,28,0,2640,597,1,5,0.38,0.73
Oppenheimer#11894,3069,622,119,0,0,0,1,0,1,0,1,0,0,0,0,0,503,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,32,0,0,0,0.25,0
Nostrenos#1737,2220,211,120,0,0,0,1,0,1,0,0,0,0,0,0,0,91,0,0,0,0,0,0,1,0,0,0,0,0.33,0,0,0,0,42,0,0,0,0.26,0
Lucario#21542,2887,22059,2811,0,0.11,31,35,0,49,0,26,1,3,0,1,0,19114,7,2,2,3,0,0,9,25,0,0,14,0.42,22,0,10,0,2100,113,1,6,0.33,0.5
freakintiger#2668,3644,15463,3254,0,0.23,28,20,0,35,0,20,1,2,0,1,0,12209,5,2,1,1,0,0,11,32,0,0,14,0.52,19,0,6,0,1320,48,0,2,0.36,0.68
Kephrii#11655,2797,143455,14620,1,0.21,302,232,0,391,0,277,10,19,0,9,0,127278,33,15,9,10,1,0,89,284,0,0,76,0.39,242,0,109,1,10800,587,4,38,0.37,0.48
SCOPE#11903,3580,1846,0,0,0.3,6,4,0,2,0,1,0,0,0,0,0,1846,1,0,0,1,0,0,0,2,0,0,0,0.57,3,0,1,0,180,16,0,1,0.48,0.07
Patachouwww#2974,2527,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Jackey#11578,2445,3311,279,0,0.25,10,1,0,1,0,0,0,0,0,0,0,3031,1,0,0,0,0,0,0,0,0,0,2,0.47,3,0,0,0,180,0,1,0,0.3,0
Mom#12879,2936,8740,592,1,0.21,16,1,0,25,0,17,0,1,0,1,0,8147,3,0,1,1,0,0,2,3,0,0,12,0.56,16,0,7,0,420,287,0,1,0.49,1.0
Cinnabuns#11729,3369,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Zanoo#1266,1910,1608,1029,0,0.2,1,2,0,1,0,1,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0.65,1,0,1,0,120,0,0,0,0.33,0
Eoii#1379,2728,11020,1698,0,0.19,23,12,0,28,0,22,0,1,0,0,0,9240,3,2,1,0,0,0,6,35,0,0,9,0.49,18,0,9,0,900,66,2,3,0.49,0.53
Mariposa#31240,3446,8332,3234,0,0.05,3,2,0,12,0,5,0,1,0,0,0,5098,2,1,0,1,0,0,5,0,0,0,11,0.5,3,0,0,0,420,0,0,1,0.31,0.56
Limousine#11710,2603,76351,0,0,0.13,104,60,0,112,0,75,6,8,1,1,0,0,18,9,3,6,0,0,37,47,0,0,0,0.52,93,0,33,0,3600,208,7,4,0.48,0.16
dunk#11522,2877,17337,0,0,0.11,30,16,0,42,0,30,1,2,0,1,0,0,6,4,0,1,0,0,7,49,0,0,0,0.46,23,0,9,0,1320,131,0,1,0.39,0.67
BeSmart#2935,2416,563,187,0,0,0,1,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,8,0,0,0,0.33,0,0,0,0,60,0,0,0,0.33,1.0
Casual#11993,2599,38493,6465,0,0.18,77,37,0,73,0,49,2,4,0,2,0,31436,6,4,1,1,0,0,15,36,0,0,29,0.52,52,0,21,0,2700,205,3,6,0.41,0.55
youngfoon#1565,1930,183391,25028,3,0.12,254,120,0,436,0,282,18,27,0,9,0,155125,62,23,22,16,3,0,120,56,0,0,149,0.47,188,0,114,0,14400,475,15,37,0.38,0.32
neonnami#2407,2287,25506,0,0,0.13,41,33,0,53,0,35,3,4,0,2,0,0,10,2,3,5,2,0,9,41,0,0,0,0.51,31,0,12,0,2340,66,0,4,0.37,0.4
oPepper#1863,2069,24783,5923,1,0.11,38,12,0,38,0,19,0,2,0,2,0,16309,4,1,2,1,0,0,9,10,0,1,18,0.59,16,0,6,0,1260,67,4,5,0.42,0.79
sora#2593,1881,38913,2995,0,0.11,62,45,0,95,0,55,4,7,0,3,0,35689,9,4,1,4,1,0,14,29,0,0,29,0.48,32,0,24,0,3600,68,0,7,0.38,0.44
Drgalaxy#21722,2817,244425,32984,4,0.15,365,239,0,537,0,374,16,26,1,10,0,210176,55,19,13,23,2,0,130,183,0,0,235,0.55,307,0,147,0,18000,1514,0,23,0.43,0.38
Mexi#11525,3358,38781,9419,0,0.21,65,36,0,71,0,45,1,3,0,2,0,29099,8,2,3,3,0,0,14,34,0,0,26,0.59,56,0,13,0,2460,94,0,2,0.4,0.72
Giftasaurus#1251,2691,2836,0,0,0.09,3,4,0,6,0,5,0,0,0,0,0,2836,1,1,1,0,0,0,0,0,0,0,3,0.43,3,0,2,0,180,0,0,0,0.36,0
Unsmile#2161,2989,5811,1278,0,0.14,12,8,0,5,0,4,1,1,0,0,0,4531,1,1,0,1,0,0,0,0,0,0,4,0.52,7,0,3,0,480,23,0,0,0.4,0
