battletag,SR,ability_damage_done,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,meteor_strike_kills,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,shields_created,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
EFFECT#31318,1958,241.43,1180,693,0,0,0,1,0,4,0,0,0,0,0,0,0,486,1,1,0,0,0,0,0,1,11,0,0,0,120,0,0,120,0,0,0.08,1.0
Oppenheimer#11894,3069,664.24,1223,66,0,0,0,8,0,2,0,2,0,0,0,0,0,829,2,0,1,1,0,0,0,1,3,0,1,0,210,1,0,180,0,2,0.1,0
LeFlamel#1736,2570,862.23,1896,367,0,0,0,3,0,6,0,1,0,0,0,0,0,1529,0,0,0,0,0,0,0,3,30,0,0,0,450,0,0,180,0,0,0.17,0
Lucario#21542,2887,6286.58,11407,1133,0,0,0,14,0,24,1,18,1,2,0,1,0,10274,6,3,1,1,0,3,0,5,75,0,0,0,2140.12,8,0,900,0,0,0.29,0.37
Kephrii#11655,2797,200,200,0,0,0,0,1,0,1,0,1,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,13,0,0,0,1.0
Cybernator#11620,2661,0,82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0.25,0
Patachouwww#2974,2527,2806.28,5154,381,0,0,0,12,0,6,0,4,1,1,0,0,0,4549,0,0,0,0,0,0,0,1,43,0,0,0,1080,0,0,540,0,0,0.32,0
Jackey#11578,2445,374.29,858,187,0,0,0,2,0,0,0,0,1,1,0,0,0,671,0,0,0,0,0,0,0,0,4,0,0,0,90,0,0,60,0,0,0.44,0.06
Mariposa#31240,3446,1039.28,2423,679,0,0,0,11,0,4,0,3,1,1,0,0,0,1742,4,1,1,1,0,0,0,1,1,0,0,0,495,0,0,360,0,0,0.31,0
Casual#11993,2599,4455.42,7862,540,0,0,0,11,0,22,0,15,0,1,0,1,0,7277,2,0,0,1,0,3,0,16,88,0,0,0,1545,1,0,600,20,0,0.26,0.74
