battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deaths,defensive_assists,dragonstrike_kills,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,recon_assists,scatter_arrow_kills,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Wreck#1473,4172,1891,1440,0,0,0,1,0,0,1,0,0,0,0,0,0,0,452,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,120,0,0,0.08,0
Jeremos#2358,3516,45969,0,0,0.08,33,46,0,13,100,0,61,2,4,0,2,0,0,10,5,2,3,1,1,35,89,0,0,0,16,0,19,0,3120,629,0,0.27,0.39
RMUTime#1606,3164,25462,5833,1,0.05,10,13,0,7,45,0,29,1,1,0,0,0,19145,4,1,1,2,0,0,15,16,0,0,17,16,0,6,0,1080,301,2,0.34,0.06
DarkLight#12251,1895,4107,0,0,0.12,4,3,0,1,9,0,5,0,0,0,0,0,4107,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,240,38,0,0.23,0
xFunStyle#2648,2450,25018,3982,0,0.1,20,15,0,7,46,0,32,0,1,0,1,0,21031,3,1,1,1,0,1,17,33,0,0,13,17,0,12,0,1260,136,0,0.27,0.69
Oppenheimer#11894,3069,170258,54380,5,0.06,78,100,0,46,243,0,158,7,11,0,4,0,112757,25,8,10,7,1,3,84,412,0,0,57,82,0,48,1,7200,657,3,0.25,0.36
storm#14477,2704,6690,2044,0,0.09,4,9,0,0,10,0,9,0,1,0,0,0,4646,2,0,0,1,0,0,1,6,0,0,5,3,0,5,0,420,53,0,0.19,0.63
Lucario#21542,2887,33689,6017,0,0.05,15,23,0,14,65,0,46,2,3,0,0,0,27169,8,1,2,4,0,0,16,95,0,0,11,23,0,12,0,1680,489,0,0.33,0.13
freakintiger#2668,3644,7227,4260,0,0.11,3,6,0,1,8,0,5,0,0,0,0,0,2887,1,0,1,0,0,0,1,5,0,0,3,2,0,1,0,180,19,0,0.17,0
Kephrii#11655,2797,92145,17242,0,0.08,61,122,0,18,203,0,155,6,10,0,4,0,74299,18,8,5,6,1,2,60,216,0,0,65,70,0,54,0,3600,486,1,0.25,0.39
Snake#11194,2280,1807,0,1,0.06,1,1,0,0,3,0,2,0,0,0,0,0,1807,1,1,0,0,0,0,1,0,0,0,2,2,0,1,0,120,0,0,0.21,1.0
Thermite#11202,2304,57980,15096,0,0.06,27,32,0,25,119,0,79,1,4,0,3,0,40691,12,2,4,6,0,3,58,473,0,1,19,43,0,18,0,3000,513,2,0.29,0.64
SCOPE#11903,3580,1835,724,0,0.09,1,3,0,0,1,0,0,0,0,0,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,120,0,0,0.14,0
Patachouwww#2974,2527,1531,593,0,0.14,1,3,0,0,2,0,1,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,120,0,0,0.11,0
Jackey#11578,2445,7165,2852,0,0.05,3,6,0,2,4,0,3,0,0,0,0,0,4313,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,300,0,0,0.3,0
cronic#11246,3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
Eoii#1379,2728,49791,17818,0,0.04,19,26,0,15,65,0,40,1,4,1,2,0,30735,9,4,2,3,0,1,28,218,0,0,11,18,0,8,0,2160,375,3,0.33,0.75
Mariposa#31240,3446,18190,2960,0,0.05,8,10,0,4,40,0,24,1,1,0,1,0,14810,3,1,1,1,1,1,10,38,0,0,15,15,0,4,0,900,298,0,0.23,0.49
Limousine#11710,2603,698,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0.28,0
dunk#11522,2877,33461,0,0,0.06,18,25,0,6,48,0,26,1,3,0,2,0,0,6,2,1,3,0,0,16,41,0,0,0,20,0,6,0,2040,89,0,0.22,0.6
Casual#11993,2599,90435,28441,0,0.05,35,62,0,14,134,0,94,3,6,0,3,0,58196,15,7,3,5,3,1,48,290,0,0,35,58,0,23,0,3600,516,15,0.29,0.54
youngfoon#1565,1930,1054727,222081,20,0.05,430,623,0,272,2074,0,1415,52,84,1,31,0,804025,208,63,81,65,13,8,618,3974,0,0,725,796,0,444,2,57600,9284,73,0.21,0.37
neonnami#2407,2287,695,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,60,0,0,0.1,0
oPepper#1863,2069,4123,790,0,0.06,2,5,0,1,13,0,6,0,1,0,1,0,3257,0,0,0,0,0,0,6,9,0,0,11,3,0,1,0,360,0,0,0.2,1.0
sora#2593,1881,56170,11459,2,0.05,29,37,0,14,91,0,58,2,4,1,2,0,42767,6,2,3,1,1,2,39,104,0,0,25,30,0,15,0,3120,311,2,0.26,0.55
Samurai#1849,1735,179058,54440,2,0.06,78,131,0,49,256,0,160,7,12,1,3,0,121021,29,7,12,9,1,3,96,401,0,0,77,74,0,48,0,7200,1317,5,0.25,0.32
Drgalaxy#21722,2817,127675,38131,3,0.09,76,97,0,36,195,0,127,5,9,0,5,0,88938,21,8,9,4,0,2,63,436,0,0,35,54,0,39,0,3600,917,2,0.25,0.5
Mexi#11525,3358,80886,24342,1,0.08,41,56,0,10,98,0,67,2,4,0,2,0,55623,9,1,5,3,1,0,21,127,0,0,32,31,0,12,0,3300,368,4,0.25,0.43
Giftasaurus#1251,2691,10431,1591,0,0.07,7,8,0,2,22,0,15,1,1,0,0,0,8718,2,2,0,0,0,0,7,27,0,1,8,7,0,2,0,660,46,0,0.21,0
Unsmile#2161,2989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0
barbibus#2299,2613,30064,7035,0,0.06,15,29,0,3,36,0,21,2,3,0,1,0,22811,7,3,3,2,1,0,17,61,0,0,14,16,0,7,0,1920,23,1,0.18,0.39
Young#1382,2968,29947,0,0,0.06,18,21,0,7,58,0,29,0,3,1,2,0,0,7,5,2,0,0,1,21,59,0,0,0,14,0,4,0,1860,21,0,0.21,0.67
DiBeiper#2870,2429,743,91,0,0,0,1,0,0,3,0,1,0,0,0,0,0,652,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,40,0,0,0.21,1.0
SpaceBilly#2930,2163,872,252,0,0,0,1,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,57,0,0,0.2,0
Pistola#11768,3000,8900,3021,0,0.06,4,9,0,1,14,0,10,0,1,0,0,0,5862,2,0,1,0,0,0,1,5,0,0,5,8,0,4,0,480,59,0,0.24,0.41
ogba#1552,1805,4654,2057,0,0.13,3,4,0,1,5,0,3,0,0,0,0,0,2597,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0,240,0,0,0.16,0
Vandl#11159,2255,61205,14732,2,0.05,24,41,0,21,117,0,79,2,5,0,3,0,46464,12,5,4,4,3,1,56,238,0,1,19,34,0,18,0,3300,738,0,0.22,0.63
Jordan#12225,2162,131624,31016,4,0.06,68,70,0,34,273,0,172,4,12,0,8,0,97994,26,7,11,8,0,2,114,682,0,0,82,74,0,50,1,3600,1445,7,0.21,0.67
Diggums#11308,3196,41369,14565,0,0.09,23,23,0,7,63,0,44,2,3,0,2,0,26165,7,3,1,3,0,0,17,46,0,0,19,19,0,12,0,1980,161,4,0.23,0.47
Spasm#21748,2752,1250,0,0,0.18,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0.33,0
Alerion#21958,4007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1.0
Atlas#11100,2560,2896,1098,0,0.44,4,2,0,0,3,0,3,0,0,0,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,60,0,0,0.19,0
joebloggie#2551,3204,32219,7702,0,0.08,19,39,0,7,50,0,26,2,3,0,0,0,24493,6,2,2,3,1,1,16,84,0,0,18,15,0,6,0,1920,130,0,0.25,0.12
