battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,deadeye_kills,deaths,defensive_assists,eliminations,environmental_kills,fan_the_hammer_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,314630,54897,3,0.14,487,59,336,0,599,0,28,358,12,26,0,13,0,257052,70,22,19,29,13,0,184,1033,0,0,0,55,0,18000,1686,5,0.43,0.51
PapaGlitchy#2651,2409,95030,21806,1,0.09,97,25,102,0,175,0,18,87,3,7,1,3,0,72125,17,6,5,6,1,1,72,491,0,0,0,16,0,3600,611,5,0.32,0.52
Wreck#1473,4172,25517,5804,0,0.12,35,1,26,0,37,0,1,19,1,2,0,0,0,19215,6,3,1,1,0,0,22,171,0,0,0,4,0,1380,283,0,0.46,0.1
Jeremos#2358,3516,221706,0,3,0.07,220,78,182,0,499,0,21,301,7,20,2,10,0,0,51,17,17,17,6,3,149,747,0,0,0,75,0,14400,1666,0,0.49,0.53
EFFECT#31318,1958,1499,169,0,0.1,2,0,5,0,1,0,0,0,0,1,0,0,0,1330,0,0,0,0,0,0,0,12,0,0,0,0,0,180,0,0,0.27,0.27
Trigga#11180,3522,1930,290,0,0.04,1,1,2,0,7,0,0,4,0,0,0,0,0,1540,0,0,0,0,0,0,6,21,0,0,0,0,0,120,16,0,0.3,0.37
RMUTime#1606,3164,60140,14067,1,0.08,62,8,45,0,109,0,6,67,2,4,0,2,0,45846,11,3,2,5,1,0,31,135,0,0,0,9,0,3060,532,0,0.46,0.56
Lexilicious#1875,1550,20429,3660,0,0.06,14,7,30,0,60,0,13,26,2,3,0,1,0,16467,7,4,1,2,0,1,29,91,0,0,0,5,0,1800,113,0,0.4,0.26
Oppenheimer#11894,3069,62123,11216,0,0.09,70,18,59,0,123,0,0,70,3,6,0,3,0,50372,14,3,5,6,0,0,50,179,0,0,0,12,0,3600,198,0,0.44,0.51
storm#14477,2704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nostrenos#1737,2220,5261,1639,0,0.1,6,0,9,0,8,0,1,5,0,1,0,0,0,3622,1,0,0,0,0,0,6,20,0,0,0,2,0,420,0,0,0.38,0.66
Lucario#21542,2887,85187,16687,0,0.07,67,38,88,0,175,0,34,110,4,7,0,4,0,67671,18,7,6,5,5,2,53,201,0,0,0,30,0,3600,430,1,0.37,0.52
Eric#16530,2188,3758,0,0,0.08,4,1,3,0,10,0,2,8,0,1,0,1,0,0,2,1,1,1,0,0,2,2,0,0,0,4,0,240,3,0,0.53,1.0
Kephrii#11655,2797,207592,42784,0,0.13,282,53,260,0,448,0,11,253,12,21,1,9,0,162694,36,17,5,14,0,4,135,666,0,0,0,46,1,14400,1193,10,0.38,0.43
Cybernator#11620,2661,4272,1301,0,0.03,1,2,7,0,9,0,3,6,0,0,0,0,0,2972,1,0,0,1,0,0,5,93,0,0,0,0,0,240,0,0,0.33,0
Crayator#11430,3190,430361,127907,5,0.09,393,93,318,0,716,0,36,376,13,28,1,13,0,298910,81,28,21,32,5,1,298,1359,0,1,0,52,0,21600,2333,4,0.37,0.49
SCOPE#11903,3580,37715,10530,0,0.12,49,9,42,0,74,0,10,38,2,4,0,1,0,27185,7,3,1,2,0,0,16,37,0,0,0,8,0,2160,138,0,0.4,0.29
Patachouwww#2974,2527,2156,690,0,0.1,2,0,3,0,1,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0.26,0
Jackey#11578,2445,31574,6953,0,0.05,23,10,23,0,65,0,5,34,1,2,0,1,0,19793,5,2,1,2,0,0,38,255,0,0,0,5,0,1800,138,1,0.44,0.4
Mom#12879,2936,15408,3672,0,0.12,18,9,11,0,35,0,1,25,0,1,0,1,0,11709,4,1,2,1,3,0,7,19,0,0,0,5,0,780,124,0,0.53,1.0
cronic#11246,3472,27161,6129,1,0.1,28,7,25,0,51,0,6,29,1,3,0,1,0,21006,7,1,2,4,0,0,18,186,0,0,0,10,0,1560,187,0,0.45,0.45
Eoii#1379,2728,49984,9998,2,0.04,35,29,44,0,107,0,17,68,2,3,0,1,0,38993,10,3,4,3,0,4,46,339,0,0,0,20,0,2580,638,1,0.48,0.42
Mariposa#31240,3446,30335,2835,0,0.1,39,5,33,0,42,0,2,24,2,3,0,0,0,27150,5,1,1,3,1,0,20,115,0,0,0,4,0,1860,132,0,0.5,0.16
Limousine#11710,2603,5417,0,0,0.07,6,2,4,0,10,0,0,8,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,0,4,0,240,0,0,0.53,0
dunk#11522,2877,62778,0,0,0.05,47,15,35,0,107,0,27,70,2,4,0,2,0,0,8,2,1,5,0,0,45,131,0,0,0,21,0,2940,313,4,0.54,0.58
BeSmart#2935,2416,3836,1066,0,0.03,2,1,6,0,4,0,0,2,0,0,0,0,0,2769,1,0,0,0,0,0,1,6,0,0,0,1,0,240,0,0,0.45,0
Casual#11993,2599,54902,13663,0,0.11,63,15,50,0,101,0,14,59,3,5,0,2,0,41002,11,4,1,6,1,1,43,129,0,0,0,9,0,3120,525,1,0.44,0.42
youngfoon#1565,1930,700894,137348,15,0.06,531,232,480,0,1512,0,473,943,32,66,1,34,0,556288,157,57,50,50,20,20,569,1564,0,0,0,298,1,43200,4446,2,0.4,0.51
neonnami#2407,2287,7368,0,0,0.08,8,4,6,0,14,0,3,10,0,1,0,0,0,0,2,1,0,0,0,0,9,47,0,0,0,1,0,480,11,0,0.46,0.61
KyRix#11196,2502,656,0,0,0.08,1,0,3,0,3,0,0,1,0,0,0,0,0,656,0,0,0,0,0,0,0,11,0,0,0,1,0,120,0,0,0.26,0
Kahre13#1640,2322,5274,1480,0,0.18,10,2,8,0,3,0,1,1,0,0,0,0,0,3794,1,1,0,0,0,0,2,13,0,1,0,1,0,300,0,0,0.45,0
ZeroSumm#1771,2185,3965,266,0,0.14,9,1,6,0,8,0,3,6,1,1,0,0,0,3698,1,0,0,1,0,0,0,18,0,0,0,2,0,360,0,0,0.32,0
oPepper#1863,2069,13519,2234,0,0.03,6,7,12,0,20,0,5,10,1,1,0,0,0,10996,4,1,2,1,0,0,12,67,0,0,0,0,0,660,68,0,0.48,0
sora#2593,1881,79045,16497,0,0.07,76,14,103,0,160,0,8,89,8,11,0,3,0,60713,13,7,3,3,1,0,42,216,0,0,0,22,0,3600,64,7,0.41,0.28
Codeg#21210,2081,16085,3240,0,0.06,13,3,20,0,26,0,0,14,1,2,0,0,0,12649,4,2,1,2,0,0,7,57,0,0,0,1,0,1200,0,0,0.38,0
