battletag,SR,all_damage_done,barrier_damage_done,blizzard_kills,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,enemies_frozen,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,quick_melee_accuracy,self_healing,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Fergalicious#21844,4037,16222,2903,14,0,0.21,27,6491,14,0,63,23,0,28,0,2,0,2,0,11986,5,3,0,2,5,1,18,115,13,0,1698,0,3,0,1080,255,1,0.31,0.99
Jeremos#2358,3516,58152,0,52,2,0.16,88,73496,56,0,187,90,0,74,3,7,1,2,0,0,23,8,8,7,7,4,61,543,0,0,8789,0,19,0,3600,1018,1,0.38,0.36
EFFECT#31318,1958,912,518,0,0,0.2,1,234,2,0,2,0,0,1,0,0,0,0,0,395,1,0,0,0,0,0,1,9,0,0,229,0,0,0,120,0,0,0.16,0
Trigga#11180,3522,456,0,0,0,0,0,1150,2,0,0,2,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,13,0,0,153,0,0,0,60,0,0,0.62,0
RMUTime#1606,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1.0
Lexilicious#1875,1550,78497,19972,45,2,0.11,57,68725,91,0,221,151,0,69,5,11,1,6,0,56767,29,16,4,9,0,3,118,1056,47,0,10693,0,15,0,7200,188,3,0.34,0.54
Oppenheimer#11894,3069,22928,5291,15,0,0.18,27,19034,29,0,78,46,0,29,1,2,0,1,0,17604,6,2,1,3,0,1,23,114,15,0,2654,0,8,0,2040,234,0,0.3,0.35
JoseM0#1230,2763,549,201,0,0,0,0,2185,2,0,0,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,6,0,0,42,0,0,0,60,0,0,0.18,0
Nostrenos#1737,2220,491,300,0,0,0,0,628,1,0,1,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,116,0,0,0,50,0,0,0.5,0.88
EibeMandel#2274,3054,866,0,0,0,0,0,2132,5,0,1,2,0,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,180,0,0,0.28,0
