battletag,SR,all_damage_done,barrier_damage_done,cards,critical_hit_accuracy,critical_hits,damage_blocked,deaths,defensive_assists,eliminations,environmental_kills,final_blows,games_lost,games_played,games_tied,games_won,healing_done,hero_damage_done,medals,medals_-_bronze,medals_-_gold,medals_-_silver,melee_final_blows,multikills,objective_kills,objective_time_seconds,offensive_assists,players_teleported,primary_fire_accuracy,quick_melee_accuracy,sentry_turret_kills,shield_generator_uptime,shield_generators_destroyed,solo_kills,teleporter_pads_destroyed,teleporter_uptime,time_played_seconds,time_spent_on_fire_seconds,turrets_destroyed,weapon_accuracy,win_percentage
Wreck#1473,4172,1050,250,0,0,0,198,1,0,2,0,1,0,0,0,0,0,800,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,59,0,0,0,0
Jeremos#2358,3516,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0.72
Mom#12879,2936,969,176,0,0,0,37,2,0,1,0,0,0,0,0,0,0,793,1,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,60,0,0,0,0
Cinnabuns#11729,3369,797,493,0,0,0,108,2,0,1,0,0,0,0,0,0,0,304,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,60,0,0,0,0
Codeg#21210,2081,1555,283,0,0,0,75,2,0,5,0,3,0,0,0,0,0,1272,0,0,0,0,0,0,1,2,0,6,1,0,1,0,0,1,0,21,60,0,0,0,1.0
Samurai#1849,1735,14295,1562,0,0,0,6904,12,0,26,0,15,0,1,0,0,0,12732,3,1,1,0,0,0,14,89,0,9,1,0,0,343,0,3,0,96,780,18,0,0,0.58
Vodkajin#1911,1662,2992,287,0,0,0,1383,0,0,15,0,7,0,0,0,0,0,2675,2,0,0,1,0,0,7,8,0,0,0,0,0,0,0,2,0,105,240,5,0,0,1.0
Drgalaxy#21722,2817,102454,26429,0,0,0,40141,106,0,250,0,114,4,9,0,5,0,74953,24,11,5,8,0,1,97,617,0,68,1,0,0,1960,0,21,0,1057,3600,470,17,0,0.54
Mexi#11525,3358,1862,1299,0,0,0,11,5,0,1,0,0,0,0,0,0,0,560,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,120,0,1,0,0
Kriohn#1188,2433,8234,3545,0,0,0,4648,5,0,7,0,3,1,1,0,0,0,4313,2,2,0,1,0,0,1,7,0,4,0,0,3,104,0,1,0,28,420,0,1,0,0.16
Young#1382,2968,134463,0,0,0,0,0,95,0,270,0,103,5,13,1,7,0,0,29,12,7,10,0,1,59,232,0,187,0,0,130,0,0,28,0,3544,7200,456,0,0,0.53
PiglordX#1966,3514,1312,447,0,0,0,365,3,0,2,0,1,0,0,0,0,0,865,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,50,120,0,0,0,1.0
PsychoD#2644,3000,964,96,0,0,0,2356,4,0,7,0,2,0,0,0,0,0,869,0,0,0,0,0,0,3,12,0,5,1,0,6,0,0,0,0,74,180,0,0,0,0
SpaceBilly#2930,2163,1239,104,0,0,0,273,3,0,5,0,1,0,0,0,0,0,1135,0,0,0,0,0,0,1,3,0,3,1,0,4,0,0,0,0,24,120,0,0,0,0
ogba#1552,1805,63878,14908,2,0,0,21272,48,0,146,0,64,2,7,0,5,0,48695,17,5,3,9,0,2,76,245,0,93,1,0,99,286,0,9,0,1418,3600,361,0,0,0.7
